iter	Logloss
0	0.6910252028
1	0.6896889085
2	0.6877302434
3	0.6859035551
4	0.6840758338
5	0.6821674053
6	0.6807946777
7	0.6788571871
8	0.6780492695
9	0.6766592172
10	0.6748923903
11	0.6733007813
12	0.6717669208
13	0.6703940054
14	0.6694688063
15	0.6686142672
16	0.6682716722
17	0.6669996056
18	0.6663585017
19	0.6652711839
20	0.663697322
21	0.6623340783
22	0.6618783804
23	0.6604854173
24	0.6592622258
25	0.6587389198
26	0.6574402325
27	0.6566530198
28	0.6556366906
29	0.6543481445
30	0.653103356
31	0.6518482384
32	0.6513115986
33	0.6496891902
34	0.6481406813
35	0.6473577881
36	0.6462025804
37	0.6446673584
38	0.6438804274
39	0.6430218975
40	0.6419782903
41	0.641009052
42	0.639612192
43	0.6393110539
44	0.6383699857
45	0.6377216515
46	0.6368877704
47	0.635986422
48	0.6350907076
49	0.6341756498
50	0.6332280555
51	0.6323248291
52	0.6314424485
53	0.6306450477
54	0.6296005014
55	0.6289652194
56	0.6283661358
57	0.6268771597
58	0.6263230544
59	0.6253527363
60	0.6242860765
61	0.6236666166
62	0.6227929688
63	0.6225451191
64	0.6218365009
65	0.6206302584
66	0.6199092454
67	0.6196265587
68	0.6193086595
69	0.618604126
70	0.6178728779
71	0.6169589938
72	0.6159057617
73	0.6149636606
74	0.6145912523
75	0.6137066181
76	0.6133286227
77	0.6122723858
78	0.6113717886
79	0.6109056678
80	0.6104892203
81	0.6093259371
82	0.6087530048
83	0.6082094163
84	0.6072179706
85	0.6063787372
86	0.6058779672
87	0.6054763559
88	0.6047536058
89	0.6042114258
90	0.6032710149
91	0.602555495
92	0.602163931
93	0.6014857835
94	0.6011345966
95	0.6004054612
96	0.5998937049
97	0.5994712477
98	0.5988266695
99	0.5979357441
100	0.5970695143
101	0.5965795429
102	0.5959699425
103	0.5953663048
104	0.5950865291
105	0.5946788612
106	0.593797044
107	0.5932461313
108	0.5927688364
109	0.592022799
110	0.5916521747
111	0.5907889029
112	0.5900593919
113	0.5895281513
114	0.5892530236
115	0.5885986798
116	0.588144766
117	0.5874966196
118	0.5868061711
119	0.5862824425
120	0.5854936805
121	0.5852750808
122	0.5849653508
123	0.5843680044
124	0.5836498554
125	0.5831835468
126	0.5823337027
127	0.5820341609
128	0.5810548753
129	0.5803928317
130	0.5800177471
131	0.5797789588
132	0.5795286208
133	0.5786771804
134	0.5781290377
135	0.577632681
136	0.5771686261
137	0.576414748
138	0.5761317796
139	0.575681481
140	0.5750855431
141	0.5746924767
142	0.5743150447
143	0.5737841797
144	0.5733423791
145	0.5730868296
146	0.5728657884
147	0.5723684927
148	0.5717373422
149	0.5713138522
150	0.5710444524
151	0.5705095497
152	0.5697885367
153	0.5695699369
154	0.5689465332
155	0.5683588116
156	0.5680279072
157	0.5675916466
158	0.5673344539
159	0.5671060885
160	0.5666608605
161	0.5665011362
162	0.5659824782
163	0.5654769663
164	0.5648555345
165	0.564361854
166	0.5636743634
167	0.5630492695
168	0.5623823899
169	0.5619815768
170	0.5616183706
171	0.5610799467
172	0.560924354
173	0.5607783391
174	0.5601453576
175	0.559600877
176	0.5590614201
177	0.5585914025
178	0.5584915865
179	0.5583305007
180	0.55819843
181	0.5577452674
182	0.5572606952
183	0.556887254
184	0.5564347018
185	0.5562814566
186	0.5557452393
187	0.5554755108
188	0.5551487849
189	0.5548565204
190	0.5545701247
191	0.5543327918
192	0.5540842379
193	0.5537354924
194	0.5533343975
195	0.553202186
196	0.5526482685
197	0.5523589149
198	0.5516233004
199	0.5512937575
200	0.5509556697
201	0.5507312481
202	0.5504043344
203	0.5500391564
204	0.5499164288
205	0.5496908335
206	0.5494636418
207	0.5493008188
208	0.5489388334
209	0.5488715069
210	0.5486157227
211	0.5483567458
